,questions,categories,answers
760,Critérios para a fixação do benefício ao proponente,Acordo Administrativo em Processo de Supervisão (APS),"Será concedida a extinção da ação punitiva ao primeiro que se qualificar, na hipótese em que a proposta do APS tiver sido apresentada sem que o BC tivesse conhecimento prévio da infração noticiada. Será concedida a redução de um terço a dois terços das penas aplicáveis na esfera administrativa, na hipótese em que o BC tiver conhecimento prévio da infração noticiada ou para as pessoas físicas que não se qualificarem em primeiro lugar. A redução da pena levará em conta a importância das informações apresentadas, o momento da apresentação da proposta e a boa-fé do proponente."
761,Uma pessoa jurídica pode participar de uma cooperativa de crédito?,SEM-CATEGORIA,"Sim. As pessoas jurídicas podem figurar como associadas nas cooperativas de crédito, desde que sejam observadas as regras de admissão específicas para cada tipo de cooperativa, com relação à origem e atividade econômica. Ressalta-se ainda que as cooperativas de crédito não podem admitir nos respectivos quadros sociais pessoas jurídicas que possam exercer concorrência com suas atividades, conforme disposto no parágrafo único do art. 4º da Lei Complementar 130, de 2009. Um exemplo de instituições vedadas sob esta restrição são as sociedades de fomento mercantil (“factorings”)."
762,O que são as Transferências Pessoais?,SEM-CATEGORIA,"Conhecidas internacionalmente como operações de “remittances”, consistem em transferências efetuadas entre pessoas físicas sem qualquer contrapartida em bens ou serviços. Constam no ranking do VET as transações que envolvem uma operação de câmbio, ou seja, aquelas enviadas de pessoas físicas residentes no País para pessoas físicas residentes no exterior ou vice-versa."
763,"Para ser correspondente, precisa ter autorização do Banco Central?","Correspondentes no País (lotéricas, banco postal e outros)","Não. A contratação do correspondente é de responsabilidade da instituição financeira contratante. A contratação de empresa para a prestação dos serviços acima referidos deve ser comunicada ao Banco Central pela instituição contratante. A comunicação é realizada mediante registro no sistema de Informações sobre Entidades de Interesse do Banco Central (Unicad), em que são cadastrados dados referentes à identificação da empresa contratada, serviços executados e respectivas datas, bem como dados cadastrais das instalações do correspondente. O Unicad pode ser consultado pelo cidadão por meio do telefone 145."
764,Podem me cobrar taxa de adesão?,Consórcios Obrigações financeiras dos consorciados,"Não, não existe taxa de adesão. Contudo, quando você entra em um grupo de consórcio, a administradora poderá cobrar, além da primeira mensalidade ou prestação, antecipação de recursos relativos à taxa de administração, visando à cobertura de despesas imediatas vinculadas à venda de cotas do grupo e remuneração de representantes e corretores, devendo tais valores serem deduzidos do valor total da taxa de administração durante o prazo de duração do grupo. Tudo isso deve estar previsto no contrato de adesão."
765,As operações de empréstimo e de financiamento podem ocorrer somente no formato um devedor - um credor ou podem ocorrer no formato de portfólios (diversos devedores e diversos credores)?,Fintechs de Crédito (SCD e SEP) Empréstimo e financiamento,A regulamentação não impede que a SEP realize intermediação de empréstimos e de financiamentos no formato de portfólios (operações com mais de um credor e/ou mais de um devedor).
766,Como são fixados os preços das moedas comemorativas?,Moedas Comemorativas,"As moedas comemorativas têm seus preços de venda fixados com base nos custos dos metais utilizados, embalagens e demais materiais necessários para a confecção e apresentação dos produtos, que ultrapassam os valores de face dos exemplares. O preço é fixado pelo Banco Central (BC) no momento do lançamento, e, eventualmente, pode sofrer uma correção neste valor.  Atenção! Uma vez lançadas essas moedas, os preços negociados no mercado podem ser distintos do preço de lançamento. Esses valores são negociados entre as partes e não sofrem interferência do BC."
767,Quais operações podem ser classificadas como operações de câmbio?,Câmbio,"Podem ser enquadradas como operações de câmbio as operações de compra e venda de moeda estrangeira em espécie, as operações comerciais com emissão de ordem de pagamento, as operações relativas aos recebimentos, pagamentos e transferências do e para o exterior mediante a utilização de cartões de uso internacional, bem como as operações referentes às transferências financeiras postais internacionais, inclusive vales postais e reembolsos postais internacionais."
768,Quais são os mecanismos de segurança adotados pelo Pix?,Pagamento Instantâneo (Pix) Segurança e proteção de dados no Pix,"O Pix conta com diversos mecanismos de segurança, alguns dos quais desenvolvidos com exclusividade para essa inovação: A identidade do pagador é digitalmente autenticada, por senha, token, reconhecimento biométrico, ou outro método de segurança adotado pela instituição de relacionamento, antes qualquer pagamento ou transferência; Os dados das transações do Pix transitam criptografados na Rede do Sistema Financeiro Nacional, que é uma rede de dados operada pelo Banco Central e extremamente segura e resiliente; O Pix conta com ""motores antifraude"" operados pelas instituições que ofertam o serviço, que permitem identificar transações atípicas, fora de perfil do usuário, bloqueando para análise as transações suspeitas por até 30 minutos, durante o dia, ou 60 min a noite e rejeitando aquelas que não se confirmarem uma transação segura; O Pix possui, em sua base de dados DICT, mecanismos de proteção que impedem varreduras das informações pessoais e ""marcadores de fraude"", em que uma transação (e o fraudador) é marcada como ""fraude"" na hipótese de suspeita de fraude ou fraude consumada e liga o alerta para todos as instituições participantes do sistema.   As instituições poderão estabelecer limites máximos de valores para as transações com base no perfil de cada cliente, período, titularidade da conta, canal de atendimento e procedimento para iniciação. Tais limites se ancoram nos limites estabelecidos para outros instrumentos de pagamento, como TED e cartão de débito. Os usuários podem, ainda, ajustar os limites pelo próprio aplicativo, sendo que a solicitação para redução do limite deve ser acatada imediatamente pelas instituições. O Pix, assim como outros meios eletrônicos, tem transações integralmente rastreáveis, por serem operações de conta a conta. Ou seja, o destinatário de uma transferência financeira em situação de sequestro ou outro meio de coação ilícita é totalmente identificado. O Pix apresenta segurança superior aos demais instrumentos de pagamento nos crimes ""sem contato pessoal"", considerando as exigências de autenticação robusta utilizando senha, biometria ou reconhecimento facial. Além disso, a partir de 16/11/21, entrará em vigor o Mecanismo Especial de Devolução que padroniza as regras e os procedimentos para viabilizar a devolução de valores pelo prestador de serviço de pagamento (PSP) do usuário recebedor, por iniciativa própria ou por solicitação do PSP do usuário pagador, nos casos em que exista fundada suspeita de fraude ou nas situações em que se verifique falha operacional nos sistemas das instituições envolvidas na transação. Todos esses mecanismos em conjunto fazem o Pix um meio de pagamento tão ou mais seguro que os demais, a exemplo de transferências bancárias e cartões."
769,Preciso comprovar um PIX que fiz há algum tempo atrás. É possível resgatar esse comprovante?,SEM-CATEGORIA,"Sim. As instituições deverão manter, no extrato, as transações realizadas via PIX, bem como os comprovantes dessas transações, pelo tempo determinado pela legislação pertinente."
770,Quais cancelamentos de atividades a pedido da instituição devem ser submetidos à aprovação do Banco Central?,Processos de Autorização do Banco Central Informações Gerais,"Todas as deliberações da sociedade sujeitas à aprovação do BC podem ser consultadas no Sisorf, conforme destacado na questão 9."
771,A taxa de câmbio é fixada pelo Banco Central?,Taxa de câmbio,"Não. As taxas de câmbio são livremente pactuadas entre as partes contratantes, ou seja, entre o comprador ou vendedor da moeda estrangeira e o agente autorizado pelo Banco Central a operar no mercado de câmbio."
772,A SCD e a SEP devem realizar avaliação do risco de crédito de suas operações?,SEM-CATEGORIA,"Sim. Tanto na SEP como na SCD, a avaliação de risco de crédito deve contemplar aspectos relevantes para avaliação do risco de crédito, como situação econômico-financeira, grau de endividamento, capacidade de geração de resultados ou de fluxos de caixa, pontualidade e atrasos nos pagamentos, setor de atividade econômica e limite de crédito. Especificamente no caso da SEP, modelo de análise de crédito utilizado deve ser capaz de fornecer aos potenciais credores indicadores que reflitam de forma imparcial o risco dos potenciais devedores e das operações de empréstimo e de financiamento. Ademais, a SEP deve realizar análise do perfil dos potenciais credores, de modo a verificar se eles atendem ao perfil de risco de suas operações."
773,Há limites de taxas de juros ou de prazo para as operações de microcrédito?,Microcrédito Microcrédito,"Em regra, não. As operações de microcrédito não têm limites máximo de taxa de juros ou mínimo de prazo da operação, os quais são livremente pactuados entre os clientes e as instituições.    A exceção é o caso de operações de microcrédito na modalidade de microcrédito produtivo orientado (MPO), para as quais há limites específicos. Veja as seções abaixo."
774,As cooperativas de crédito só podem ser formadas por empregados de empresas?,SEM-CATEGORIA,"Não. As cooperativas também podem ser formadas por pessoas de uma determinada profissão ou atividade; agricultores; pequenos e microempresários e microempreendedores. Além disso, existem cooperativas de crédito de livre admissão de associados, nas quais coexistem grupos de associados de diversas origens e atividades econômicas."
775,Há alguma modalidade de conta específica para quem faz poucas movimentações?,Contas de depósitos (conta corrente e conta poupança) Informações gerais,"Não há modalidades definidas de conta de depósitos. As regras de abertura e funcionamento das contas, incluindo as formas de movimentação, são livremente instituídas em contrato firmado entre cliente e IF, respeitadas as informações mínimas que devem constar nesse contrato.  Contudo, as regras do Banco Central (BC) dispõem que a IF pode ofertar contas com processos simplificados de qualificação dos titulares, desde que estabelecidos limites adequados e compatíveis de saldo e de aportes de recursos para fins de sua movimentação, a serem definidos em contrato."
776,"Quando há valor excedente de recebíveis constituídos mantido em garantia em relação ao valor máximo garantido que poderá ser mantido permanentemente, durante a vigência da operação, quando deverá ser promovida a desconstituição dos ônus e gravames?",Operações com Recebíveis Desconstituição de gravames e de ônus sobre os recebíveis de arranjo de pagamento,"No mesmo dia em que for verificado esse excedente, que pode ser feito pelo sistema de registro por determinação da instituição financeira beneficiária."
777,Quais são os tipos de informações que aparecem no cadastro positivo?,Cadastro Positivo Conceitos importantes,"O cadastro positivo é composto por dois tipos de informações relativas a obrigações adimplidas (pagamento já foi realizado) ou em andamento (a vencer) pelo cadastrado.  informações pessoais do cadastrado: pessoa natural ou jurídica cujas informações tenham sido incluídas em banco de dados;  nota ou pontuação de crédito do cadastrado: elaborada com base nas informações de adimplemento armazenadas;  histórico de crédito do cadastrado: conjunto de dados financeiros e de pagamentos, relativos às operações de crédito e obrigações de pagamento adimplidas ou em andamento por pessoa natural ou jurídica; informações sobre o gestor dos dados: pessoa jurídica que atenda aos requisitos mínimos de funcionamento previstos na Lei 12.414, de 2011, e em regulamentação complementar, responsável pela administração de banco de dados, bem como pela coleta, pelo armazenamento, pela análise e pelo acesso de terceiros aos dados armazenados;  informações sobre a fonte de dados: pessoa natural ou jurídica que conceda crédito, administre operações de autofinanciamento ou realize venda a prazo ou outras transações comerciais e empresariais que lhe impliquem risco financeiro; e informações sobre o consulente: pessoa natural ou jurídica que acesse informações em bancos de dados, para qualquer finalidade permitida na Lei 12.414, de 2011."
778,Quais instituições farão parte obrigatoriamente do Open Banking?,Open Banking  Instituições participantes,"Existem três casos de compartilhamento de dados e serviços no escopo do Open Banking em que a regulamentação vigente previu a existência de participantes obrigatórios, quais sejam:  No caso de compartilhamento de dados:          - as instituições enquadradas nos Segmentos 1 (S1) e 2 (S2), de que trata aResolução 4.553, de 2017, exceto as instituições              integrantes de conglomerados prudenciais que não prestem os serviços relacionados aos dados transacionais de clientes.   No caso de compartilhamento de serviço de iniciação de transação de pagamento:        - as instituições detentoras de conta de depósitos à vista ou de poupança ou de pagamento pré-paga; e as instituições iniciadoras            de transação de pagamento.  No caso de compartilhamento de serviço de encaminhamento de proposta de crédito:         - as instituições reguladas que tenham firmado contrato de correspondente no País para receber e encaminhar, por meio             eletrônico, propostas de operações de crédito.   Importante! É obrigatório o compartilhamento dos dados e dos serviços entre as instituições participantes de cada um dos casos acima relacionados, mediante prévio consentimento do cliente, sem a necessidade de celebração de contrato entre as instituições."
779,Instituições de pagamento credenciadora e subcredenciadoras podem realizar antecipação de recebíveis?,SEM-CATEGORIA,"Sim. A antecipação de recebíveis é diferente de operações de crédito, como empréstimos e financiamentos, e, portanto, pode ser realizada por instituições que não sejam instituições financeiras. Ela é uma operação por meio da qual o credenciador ou subcredenciador, que já tem obrigação de repassar os valores das compras dos clientes ao lojista, quita essa obrigação em prazo menor do que o previsto.   Saiba mais sobre antecipação de recebíveisaqui."
780,Quais as principais funcionalidades do Bacen Jud?,SEM-CATEGORIA,"O Bacen Jud viabiliza a distribuição de ordens judiciais para as instituições financeiras, tanto para requisição de informações, incluindo informações bancárias, saldos, extratos e endereços de pessoas físicas e jurídicas clientes do SFN, quanto para cumprimento de ordens de bloqueio e desbloqueio de dinheiro e transferências de valores bloqueados para contas judiciais."
781,Quais são as principais diferenças entre conta bancária e conta de pagamento?,Contas de pagamento,"Ascontas bancárias (contas de depósitos à vista) são mantidas somente em instituições financeiras bancárias. Os recursos depositados nessas contas podem ser utilizados pela instituição em operações de intermediação financeira, ou seja, podem ser utilizados em operações de crédito (empréstimos e financiamentos) ou aplicações financeiras. Os recursos depositados nessas contas são protegidos peloFundo Garantidor de Crédito (FGC), que garante os créditos relativos às contas de depósitos e investimentos de cada cliente, por instituição financeira ou conglomerado financeiro, até o valor de R$ 250 mil. As contas de pagamento são mantidas em instituições de pagamento ou em instituições financeiras. Os recursos mantidos em contas de pagamento não podem ser utilizados em operações de intermediação financeira, a exemplo das operações de crédito. Embora não sejam protegidos pelo FGC, os recursos mantidos em conta de pagamento são protegidos pela Lei 12.865, de 2013, e não se confundem com o patrimônio da instituição de pagamento ou da instituição financeira detentora da conta, em caso de falência. Saiba mais na pergunta 10 abaixo. Em alguns casos, as instituições de pagamento podem fazer parte de grupos ou conglomerados em que existam instituições financeiras. Nesse caso, ainda que o cliente possua apenas uma conta de pagamento, ele pode ter acesso às operações de crédito oferecidas pela instituição financeira do grupo. Nesse caso o recurso proveniente da operação de crédito é depositado em sua conta de pagamento. A movimentação das contas de depósitos é semelhante à movimentação das contas de pagamento pré-paga. Em ambos os casos, há necessidade de depósito prévio de recursos para que sejam realizadas as transações de pagamento, saques, transferências entre contas e entre bancos, e aplicações financeiras. Contudo,  diferentemente das contas bancárias, as contas de pagamento não são movimentáveis cheques. No tocante à cobrança de tarifas, os bancos e demais instituições autorizadas a funcionar pelo BC, inclusive instituições de pagamento, devem observar o disposto na Resolução 3.919, de 2010. Os serviços vinculados às contas de pagamento pós-pagas são considerados serviços prioritários, estando padronizadas as tarifas passíveis de cobrança, com definição explícita dos fatos geradores. Os serviços vinculados às contas de pagamento pré-pagas são considerados serviços diferenciados, sendo mais flexível a cobrança de tarifas, sem instituição de padronização pelo Conselho Monetário Nacional, inclusive em relação a serviços de saques, extratos e transferências. Os bancos e demais instituições financeiras devem observar regras que disciplinam o atendimento por meio de agências (presenciais) e por meio de canais alternativos (eletrônicos, telefonia, etc.), inclusive no caso das contas eletrônicas (Resolução 4.480, de 2016). No caso de instituições de pagamento não há regra disciplinando o atendimento, que pode ser exclusivamente por meio eletrônico."
782,O que é um mandatário no RDE-ROF?,Registro Declaratório Eletrônico - Registro de Operações Financeiras (RDE-ROF) Acesso ao RDE-ROF,"Conforme Resolução 4.637, de 2018, do Banco Central o devedor da operação pode constituir, como mandatárias, pessoas físicas ou jurídicas com autorização para incluir, consultar e atualizar seus registros RDE-ROF."
783,O que é alienação fiduciária?,"Empréstimo, financiamento e arrendamento mercantil (leasing) Operação de crédito e seus principais tipos","Na alienação fiduciária, você transfere a posse temporária do bem ao banco para garantir a operação. Após a quitação da dívida, o bem volta a ser seu. Caso você não pague os valores devidos, o banco passa a ser o dono definitivo do bem, que geralmente é vendido para a quitar o saldo devedor da dívida."
784,"Como posso acessar a relação das instituições de pagamento, ainda que não autorizadas a funcionar pelo BC, que oferecem o Pix?",Instituições de Pagamento,"Para acessar a lista de participantes do Pix em processo de adesão, cliqueaqui."
785,Em qual ativo declaro “ADRs”?,CBE - Capitais Brasileiros no Exterior Informando os ativos no exterior,"ADRs (Depositary receipts, certificados negociados nos Estados Unidos), quando vinculados a ações de empresas com sede no Brasil, devem ser informados na ficha “Depositary receipt – Empresa brasileira”. Caso contrário, informar em “Depositary receipt – Empresa não-brasileira”."
786,Em quais situações a autorização para funcionamento pode ser cancelada?,Processos de Autorização do Banco Central Informações Gerais,"A autorização para funcionamento pode ser cancelada a pedido da própria instituição. Além disso, na ocorrência de determinados eventos, o BC pode cancelar de ofício a autorização para funcionamento das entidades supervisionadas.  No Sisorf, constam informações sobre os processos para cancelamento de autorização para funcionamento, a pedido, conforme o segmento:Cancelamento da autorização para funcionamento de instituição financeira regida pela Lei nº 4.595, de 1964 (Sisorf 4.24.20);Cancelamento da autorização para funcionamento de sociedade de crédito ao microempreendedor e à empresa de pequeno porte (Sisorf, 4.25);Cancelamento da autorização para funcionamento de cooperativa de crédito (Sisorf 5.13); e Cancelamento da autorização para funcionamento ou para administrar grupos de consórcio - (Sisorf 6.15).   O Sisorf pode ser acessado pela página da internet."
787,"Se eu não tiver mais margem consignável ou já tiver encerrado meu vínculo de emprego com a fonte pagadora, o banco pode debitar em minha conta-corrente as parcelas do empréstimo consignado?",Empréstimos consignados Margem Consignável,"Sim, desde que você tenha pedido ou autorizado esse débito previamente por escrito ou por meio eletrônico. Essa autorização é geralmente dada no contrato de empréstimo.  Os débitos já contratados podem ocorrer se o salário diminuir ou o vínculo se encerrar. Nesse caso, a dívida permanece e as parcelas devem ser pagas, mesmo com o comprometimento da margem ocorrido pela redução ou extinção da fonte de renda.   Conforme o caso, a autorização pode abranger diversas espécies de conta, como conta-corrente, conta poupança, conta salário, conta de pagamento."
788,Como é feita a divulgação do processo administrativo sancionador?,Processo Administrativo Sancionador Acompanhamento do Processo e Pagamento de Multas,"O BCB publica no Diário Eletrônico, em seusite, as citações, intimações e resumo das decisões no âmbito de processos administrativos sancionadores. Além disso, são publicados na íntegra: Acordos Administrativos em Processo de Supervisão eTermos de Compromisso.  Importante! Mediante decisão fundamentada, o BCB pode não publicar decisões se houver riscos para a estabilidade ou solidez da instituição, do Sistema Financeiro Nacional, do Sistema de Pagamentos Brasileiros ou do Sistema de Consórcios."
789,O seguro também é obrigatório no SFI?,Crédito Imobiliário,"Sim. Assim como no caso do SFH, a contratação de um financiamento no âmbito do SFI é condicionada à contratação de seguros que prevejam, no mínimo, cobertura aos riscos de morte e invalidez permanente do mutuário (MIP) e de danos físicos ao imóvel (DFI)."
790,Quando o cooperado poderá resgatar seus investimentos e recursos depositados na cooperativa após a decretação da liquidação extrajudicial?,Liquidação Extrajudicial - Cooperativas de crédito,"O pagamento dos créditos não cobertos pelo FGCoop ou que excederem os limites de sua garantia ordinária, dependerão da formação do quadro de credores, da arrecadação de bens, a conversão em dinheiro, entre outros fatores, razão pela qual não é possível estimar valores e prazos."
791,Todas as instituições de pagamento devem ser autorizadas a funcionar pelo BC?,SEM-CATEGORIA,"Não. Apenas precisam de autorização as IPs (emissoras de moeda eletrônica, emissoras de instrumento pós pago e credenciadoras) que operem volumes negociais superiores a: R$500.000.000,00 (quinhentos milhões de reais) em transações de pagamento; ouR$50.000.000,00 (cinquenta milhões de reais) em recursos mantidos em conta de pagamento pré-paga.As emissoras de moeda eletrônica (cartões pré-pagos) e as emissoras de instrumento de pagamento pós-pago (cartões de crédito) devem apurar o referido valor de transações de pagamento considerando o somatório dos valores correspondentes às transações de pagamento executadas nos últimos doze meses.  A IP que presta serviço em mais de uma das modalidades previstas e apresenta valores financeiros superiores a pelo menos um dos parâmetros mencionados, em pelo menos uma das modalidades, deve solicitar autorização para funcionar para todas as modalidades que exerce.    Atenção! As IPs que não se enquadrarem nos critérios previstos na regulamentação em vigor para serem autorizadas a funcionar pelo Banco Central do Brasil, que optarem por aderir aoPix, serão consideradas integrantes do Sistema de Pagamentos Brasileiro (SPB) a partir do momento em que apresentarem pedido de adesão. Nesse caso, essas IPs ficam sujeitas a uma regulação mínima, com o custo de observância proporcional ao risco oferecido."
792,"Sou beneficiários do Bolsa Família e não tenho conta em banco, mas saquei uma nota manchada, como devo proceder?",Cédulas manchadas de tinta,Os beneficiários do Bolsa Família que não têm conta em banco devem procurar qualquer agência do banco onde sacou o dinheiro para fazer a troca.  O banco é obrigado a trocar o dinheiro manchado imediatamente.
793,O banco pode cobrar pela manutenção de conta de poupança?,Aplicações financeiras,"Não. Para mais informações, veja asperguntas e respostas sobre tarifas bancárias ."
794,O contrato firmado com um cliente no âmbito do Sandbox Regulatório tem prazo definido?,Sandbox Regulatório Relação do participante com os clientes,"As entidades participantes devem limitar os prazos de vencimento dos contratos firmados com seus clientes e usuários ao período de duração de sua autorização para participar do Sandbox Regulatório, exceto se comprovar a existência de instrumentos que garantam a transferência da titularidade das obrigações formalizadas nesses contratos para outras instituições autorizadas a assumi-las."
795,"Caso opte por assinar digitalmente os documentos, preciso utilizar algum certificado especifico?",Protocolo Digital Envio da Documentação,"Sim. O signatário deve utilizar certificado digital emitido por Autoridade Certificadora da ICP-Brasil, no padrão PAdES, caso contrário esses documentos terão valor de cópia simples."
796,Quando começa e quando termina a cobertura do Proagro?,Programa de Garantia da Atividade Agropecuária (Proagro) Cobertura,"Em lavouras temporárias (por ex., alface, soja, trigo, milho): começa com o transplantio ou emergência da planta no local definitivo e termina com o fim da colheita ou o fim do período de colheita recomendado para a cultura contratada, o que acontecer primeiro.Em lavouras permanentes (por ex., café, uva, maçã): começa com o débito do adicional na conta da operação ou o recolhimento do adicional ao BC e termina com o fim da colheita."
797,Existe limitação de prazo no contrato de leasing?,SEM-CATEGORIA,"Sim. Na modalidade chamada “leasing financeiro” o prazo mínimo de arrendamento é de dois anos para bens com vida útil de até cinco anos, e de três anos para os demais. Por exemplo: para veículos, o prazo mínimo é de 24 meses e, para outros equipamentos e imóveis (bens com vida útil superior a cinco anos), o prazo mínimo é de 36 meses. Já na modalidade denominada “leasing operacional” o prazo mínimo é de 90 dias, e o máximo é de 75% da vida útil do bem arrendado."
798,O Banco Central pode bloquear ou desbloquear valores em contas?,Banco Central do Brasil,"Não. As determinações de bloqueio ou desbloqueio de valores são oriundas, em sua maioria, do Poder Judiciário e o Banco Central limita-se a transmitir tais determinações à rede bancária para cumprimento. O juiz pode protocolar ordens de bloqueio, desbloqueio e transferências de valores e/ou contas, solicitar informações sobre endereço, existência de ativos financeiros, saldo, extratos, comunicação de falência e extinção de falência. Para facilitar a comunicação entre o Poder Judiciário e as instituições financeiras, o Banco Central desenvolveu um sistema informatizado chamado Bacen Jud, por meio do qual as ordens judiciais são registradas e transmitidas eletronicamente para as instituições financeiras. Na verdade, os juízes poderiam enviar suas determinações diretamente às instituições financeiras, mas, pela facilidade de comunicação de que dispõe com o Sistema Financeiro, o Banco Central auxilia o Poder Judiciário na intermediação desse processo."
799,O Banco Central regula e fiscaliza os serviços de pagamentos vinculados a cartão de crédito?,SEM-CATEGORIA,"Sim. Os serviços de pagamentos vinculados a cartão de crédito emitidos por instituições financeiras ou instituições de pagamento estão sujeitos à regulamentação baixada pelo Conselho Monetário Nacional e     pelo Banco Central do Brasil, nos termos dos arts. 4º e 10 da Lei 4.595, de 1964, e daLei 12.865, de 2013."
800,Recebi uma notificação de que minha chave foi reivindicada por outro usuário. O que devo fazer?,Pagamento Instantâneo (Pix) Entendendo sobre a Chave Pix,"Você terá um prazo de 7 (sete) dias corridos para validar e comprovar a posse da sua chave. Ao fazê-lo dentro do prazo estabelecido, o processo de reivindicação será encerrado e você continuará utilizando sua chave normalmente."
801,Como faço para contratar um empréstimo consignado?,Empréstimos consignados Principais dúvidas,É necessário um convênio entre a fonte pagadora e o banco em que você deseja obter o empréstimo. O desconto da parcela deve ser expressamente autorizado por você.
802,"Após o bloqueio, para onde é transferido o valor?",SEM-CATEGORIA,"Os valores bloqueados via Bacen Jud são transferidos para contas judiciais. Após o recebimento da ordem de transferência, a instituição informa no sistema uma data prevista para o depósito.  Enquanto estão bloqueados, os valores não são remunerados em favor do Poder Judiciário pela instituição participante. Após transferidos, tais valores observarão o regime estabelecido para o respectivo depósito judicial."
803,Tenho direito a cartão para fazer pagamentos em estabelecimentos credenciados se eu tiver uma conta-salário?,Conta-Salário e Portabilidade Salarial,"O empregado pode ter direito a cartão para fazer pagamentos em estabelecimentos credenciados se o contrato firmado entre o empregador e o banco tiver previsão de fornecimento ao cliente.   O contrato também pode prever a possibilidade de liquidação de contas, faturas e boletos de pagamentos na conta-salário por meio de débito automático."
804,Quais são os prazos de bloqueio de cheque acolhido em depósito?,SEM-CATEGORIA,"O prazo de bloqueio do valor do cheque não pode ser superior a um dia útil, contado a partir do dia seguinte ao do depósito.  Cabe ressaltar que os depósitos efetuados em cheque que sofrerem bloqueio por prazos superiores aos regulamentares devem ser remunerados, por dia de excesso, pela Taxa Selic."
805,O que acontece se eu desistir do consórcio?,Consórcios Desistência e exclusão de consorciado,"A legislação permite ao consorciado desistir do contrato no prazo de 7 dias a contar de sua assinatura, desde que a contratação ocorra fora do estabelecimento comercial. Os valores eventualmente pagos, a qualquer título, serão devolvidos de imediato, monetariamente atualizados. Nesse caso, a desistência equivale ao cancelamento do contrato, não havendo ônus financeiro ao consorciado. Após esse prazo, também é possível a desistência da participação em grupo de consórcio, porém haverá implicações diferentes. O participante do consórcio, que não tenha sido contemplado, pode desistir também do contrato se manifestar, de forma expressa e inequívoca, a intenção de não permanecer no grupo, por qualquer forma passível de comprovação, passando a ser considerado consorciado excluído. Nesse caso, poderá haver cobrança de multa pelos prejuízos causados ao grupo e à administradora."
806,Como deve ser prestada a informação sobre o CET?,SEM-CATEGORIA,"A planilha de cálculo do CET deve ser fornecida ao interessado previamente à contratação da operação. Caso a operação seja contratada, a planilha deve ser inserida no respectivo contrato de forma destacada. É muito importante que se analise atentamente essa planilha, uma vez que nela devem estar explícitos todos os custos adicionais eventualmente embutidos na operação (tarifas, seguros, ressarcimentos de despesas, serviços opcionais, etc.). A instituição deve assegurar-se de que o tomador, na data da contratação, ficou ciente dos fluxos considerados no cálculo do CET e de que essa taxa representa as condições vigentes na data do cálculo.  O CET também deve estar presente nos informes publicitários de operações destinadas à aquisição de bens e de serviços quando forem veiculadas ofertas específicas (com divulgação do valor a ser financiado, da taxa de juros cobrada, do valor das prestações, etc.)."
807,As cédulas danificadas possuem valor?,Cédulas e Moedas Inadequadas para Circulação,Sim. Os danos citados na questão 4 acima não geram a perda do valor das cédulas.  Atenção! Danos diferentes dos citados podem gerar perda de valor das cédulas.
808,Colocar uma cédula de 200 reais não trará problemas de falta de troco? Há cédulas suficientes das outras denominações para troco?,SEM-CATEGORIA,"Um dos maiores desafios da área técnica de meio circulante do BC é buscar o melhor equilíbrio entre as quantidades de denominações das cédulas. O BC faz monitoramento diário das necessidades de troco com a ajuda de toda a rede bancária e trabalha de forma diligente para atendê-las. A entrada em circulação de qualquer nova denominação requer que o monitoramento em questão seja naturalmente intensificado. A nova denominação entrará em circulação de forma gradual, conforme se observe demanda adicional da população por numerário. Do montante total de cédulas que se encontram em circulação: 18% são cédulas de R$2, 8% são cédulas de R$5, 9% cédulas de R$10, 12% cédulas de R$20, 32% cédulas de 50 e 21% são cédulas de R$100."
809,Quais tipos de arranjos de pagamento não são supervisionados pelo BC?,Arranjos de Pagamentos Supervisão dos arranjos pelo BC,"Não são regulados e supervisionados pelo BC os seguintes arranjos de pagamento:  que apresentem volumetria inferior a:R$500 milhões de valor total das transações, acumulado nos últimos doze meses; e25 milhões de transações, acumuladas nos últimos doze meses.cujos cartões sejam emitidos para uso exclusivo em uma rede de estabelecimento de um grande comerciante, como lojas de departamento, ou em estabelecimentos pertencentes a uma rede de franquia ou de licenciados;exclusivos para pagamento de serviços públicos, como água, luz e transporte;baseados em moedas virtuais, como programas de benefícios, como de milhagem aérea e outros programas que tenham como objetivo incentivar uso e a fidelidade do cliente por meio de prêmios;decorrentes de programas governamentais de benefícios, a exemplo de vale-alimentação, vale-refeição e vale-cultura;de saque e aporte, nos quais as condições de prestação desses serviços são estabelecidas por meio de contratos comerciais entre as operadoras de caixas eletrônicos e as instituições financeiras e de pagamento, e que, atualmente, não são submetidos à aprovação do BC; edestinados ao recebimento de doações eleitorais."
810,"É exigido algum procedimento de segurança pelas instituições financeiras para abertura, manutenção ou encerramento de conta por meio eletrônico?",Contas de depósitos (conta corrente e conta poupança) Encerramento,"Sim. As instituições, por meio dos procedimentos e das tecnologias utilizados na abertura, na manutenção e no encerramento de conta de depósitos, devem assegurar: a integridade, a autenticidade e a confidencialidade das informações e dos documentos eletrônicos utilizados; e a proteção contra o acesso, o uso, a alteração, a reprodução e a destruição não autorizados das informações e de documentos eletrônicos.  As tecnologias atuais de segurança da informação permitem que todo o processo seja realizado por meio eletrônico. São exemplos desses meios a autenticação digital certificada, o reconhecimento facial e de voz, a utilização de assinatura digital, a criptografia e o rastreamento pelo endereço IP, entre outros."
